NO,All,Red,Green,RatioR,RatioG,RatioBG,Result
BB25.jpg,160000,52928,1414,0.3308,0.0088375,0.6603625,BB
BB19.jpg,160000,19629,11812,0.12268125,0.073825,0.80349375,BB
BB42.jpg,160000,29004.5,0,0.181278125,0,0.818721875,BB
BB4.jpg,160000,22449,0,0.14030625,0,0.85969375,BB
BB56.jpg,160000,29793,26001.5,0.18620625,0.162509375,0.651284375,BB
BB81.jpg,160000,19291,23075,0.12056875,0.14421875,0.7352125,BB
BB94.jpg,160000,42060.5,0,0.262878125,0,0.737121875,BB
BB80.jpg,160000,43302.5,15166,0.270640625,0.0947875,0.634571875,BB
BB5.jpg,160000,27951,18598.5,0.17469375,0.116240625,0.709065625,BB
BB57.jpg,160000,27629,1390.5,0.17268125,0.008690625,0.818628125,BB
BB43.jpg,160000,18035,4806,0.11271875,0.0300375,0.85724375,BB
BB55.jpg,160000,40005.5,10240,0.250034375,0.064,0.685965625,BB
BB7.jpg,160000,27320,13016,0.17075,0.08135,0.7479,BB
BB41.jpg,160000,45047.5,12108,0.281546875,0.075675,0.642778125,BB
BB69.jpg,160000,26557.5,0,0.165984375,0,0.834015625,BB
BB82.jpg,160000,27734.5,0,0.173340625,0,0.826659375,BB
BB83.jpg,160000,49448,0,0.30905,0,0.69095,BB
BB97.jpg,160000,33316.5,0,0.208228125,0,0.791771875,BB
BB68.jpg,160000,20411.5,16763,0.127571875,0.10476875,0.767659375,BB
BB40.jpg,160000,24975,0,0.15609375,0,0.84390625,BB
BB54.jpg,160000,33120,19391,0.207,0.12119375,0.67180625,BB
BB6.jpg,160000,16187,4650,0.10116875,0.0290625,0.86976875,BB
BB78.jpg,160000,47795,0,0.29871875,0,0.70128125,BB
BB2.jpg,160000,16708,10204.5,0.104425,0.063778125,0.831796875,BB
BB50.jpg,160000,29175.5,0,0.182346875,0,0.817653125,BB
BB44.jpg,160000,44393,10989.5,0.27745625,0.068684375,0.653859375,BB
BB93.jpg,160000,27915,10829.5,0.17446875,0.067684375,0.757846875,BB
BB87.jpg,160000,25932.5,9306.5,0.162078125,0.058165625,0.77975625,BB
BB86.jpg,160000,17283,7266.5,0.10801875,0.045415625,0.846565625,BB
BB92.jpg,160000,21107.5,0,0.131921875,0,0.868078125,BB
BB45.jpg,160000,26059,8012,0.16286875,0.050075,0.78705625,BB
BB3.jpg,160000,30479,0,0.19049375,0,0.80950625,BB
BB51.jpg,160000,10001.5,43029.5,0.062509375,0.268934375,0.66855625,BB
BB79.jpg,160000,30179,22586.5,0.18861875,0.141165625,0.670215625,BB
BB47.jpg,160000,32563.5,11279,0.203521875,0.07049375,0.725984375,BB
BB53.jpg,160000,8778.5,11792,0.054865625,0.0737,0.871434375,BB
BB1.jpg,160000,4782.5,4851,0.029890625,0.03031875,0.939790625,BB
BB84.jpg,160000,19953.5,0,0.124709375,0,0.875290625,BB
BB90.jpg,160000,0,0,0,0,1,BB
BB91.jpg,160000,96630.5,0,0.603940625,0,0.396059375,BB
BB85.jpg,160000,36143.5,0,0.225896875,0,0.774103125,BB
BB52.jpg,160000,23351,2103.5,0.14594375,0.013146875,0.840909375,BB
